locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
6386,"Warszawa, ul. Wokalna",no2,10.3,"{'utc': '2023-07-03T00:00:00+00:00', 'local': '2023-07-03T02:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,11.3,"{'utc': '2023-07-03T01:00:00+00:00', 'local': '2023-07-03T03:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,11.0,"{'utc': '2023-07-03T02:00:00+00:00', 'local': '2023-07-03T04:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,14.8,"{'utc': '2023-07-03T03:00:00+00:00', 'local': '2023-07-03T05:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,22.0,"{'utc': '2023-07-03T04:00:00+00:00', 'local': '2023-07-03T06:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,22.4,"{'utc': '2023-07-03T05:00:00+00:00', 'local': '2023-07-03T07:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,17.0,"{'utc': '2023-07-03T06:00:00+00:00', 'local': '2023-07-03T08:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,10.4,"{'utc': '2023-07-03T07:00:00+00:00', 'local': '2023-07-03T09:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,6.0,"{'utc': '2023-07-03T08:00:00+00:00', 'local': '2023-07-03T10:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,6.8,"{'utc': '2023-07-03T09:00:00+00:00', 'local': '2023-07-03T11:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
